NUQFUS,FECHA DE LA MEDICION,NOMBRE DEL LABORATORIO,TIPO DE LABORATORIO,PH,TEMPERATURA,SOLIDOS TOTALES,CONDUCTIVIDAD,TURBIEDAD,COLOR REAL,COLIFORMES TOTALES,E. COLI,DEMANDA BIOQUIMICA DE OXIGENO - DBO,DEMANDA QUIMICA DE OXIGENO - DQO,OXIGENO DISUELTO,SODIO,CLORUROS,FLUORUROS,HIERRO,MANGANESO,FENOLES,AMONIACO,NITRITOS,NITRATOS,DUREZA,CIANUROS,SULFATOS,FOSFORO SOLUBLE
1122,2015-01-14T00:00:00.000,IBAL,1,8.52,17.8,165,361,5,25,92080,"7,890",1,3,7.98,,4.4,,0.29,,,,0.011,1,116,,71,
1123,2015-01-14T00:00:00.000,IBAL,1,8.26,18.7,71.0,152,7.3,37,18500,"3,990",1,2,7.70,,0.9,,0.15,,,,0.013,2.1,53,,11,
1124,2015-01-14T00:00:00.000,IBAL,1,7.96,20.4,42.0,89,4.29,18,9590,310,1,1,8.41,,1.6,,0.08,,,,0.006,2,62,,0,
1122,2015-02-18T00:00:00.000,IBAL,1,8.28,17.5,165,367,12,25,32550,"8,550",1,1.6,7.07,,4.9,,0.32,,,,0.009,1.9,140,,69,
1123,2015-02-18T00:00:00.000,IBAL,1,8.1,17.7,73.0,157,6,37,34480,"6,130",1,0.4,6.62,,0.8,,0.11,,,,0.004,0.9,70,,10,
1124,2015-02-18T00:00:00.000,IBAL,1,8.2,17,42.0,87,7.6,18,36540,520,1,32,7.57,,1,,0.08,,,,0.009,1.3,35,,0,
1122,2015-03-11T00:00:00.000,IBAL,1,8.34,18.8,165,383,16,55,13330,"7,060",1,3,7.93,,6,,0.29,,,,0.017,1.2,138,,56,
1123,2015-03-11T00:00:00.000,IBAL,1,8.22,19.1,72,159,4.8,18,32550,"8,840",1,3,8.08,,1.8,,0.09,,,,0.010,0.7,80,,6,
1124,2015-03-11T00:00:00.000,IBAL,1,8,19.2,39,86,4.75,16.00,16640,100,1,2,8.38,,1.5,,0.12,,,,0.009,1.6,71,,0,
1122,2015-04-15T00:00:00.000,IBAL,1,8.21,19.1,1,292,45.7,207,34480,"7,890",2,5,6.55,,3.8,,0.39,,,,0.013,1.1,80,,10,
1123,2015-04-15T00:00:00.000,IBAL,1,8.18,19.3,68,140,44.3,217,81640,"13,340",2,5,6.11,,2,,0.38,,,,0.006,1.8,46,,9,
1124,2015-04-15T00:00:00.000,IBAL,1,7.95,19.1,60,80,4.05,25,46110,310,1,2,5.67,,0.7,,0.1,,,,0.004,1.3,30,,0,
1122,2015-05-13T00:00:00.000,IBAL,1,8.21,17.8,63,354,6.7,22,36540,"7,710",1,2,6.41,,4.9,,0.25,,,,0.007,0.9,110,,66,
1123,2015-05-13T00:00:00.000,IBAL,1,8.08,18.4,153,149,4,9,48840,"7,120",2,7,6.38,,1.8,,0.15,,,,0.011,1.3,69,,5,
1124,2015-05-13T00:00:00.000,IBAL,1,8.07,18.6,39,85,4.7,13,15650,200,0,1,5.83,,0.7,,0.15,,,,0.006,0.7,30,,0,
1122,2015-06-17T00:00:00.000,IBAL,1,8.24,17.6,127,289,14,66,22820,"8,130",1,3,6.91,,3.7,,0.27,,,,0.020,1.7,126,,54,
1123,2015-06-17T00:00:00.000,IBAL,1,8.15,18.2,67,148,3.62,29,38730,"5,460",1,2,6.25,,1,,0.16,,,,0.013,1,46,,8,
1124,2015-06-17T00:00:00.000,IBAL,1,8.07,22.5,40,87.3,3.27,24,34480,200,2,3,5.84,,0.7,,0.11,,,,0.015,1.7,22,,0,
1122,2015-07-15T00:00:00.000,IBAL,1,8.24,17.6,145,339,5.9,16,24810,"3,930",3,4,5.99,,4.1,,0.36,,,,0.009,0.9,107,,57,
1123,2015-07-15T00:00:00.000,IBAL,1,8.15,18.2,67,151,2.27,14,34480,"12,960",2,3,5.39,,1.5,,0.19,,,,0.008,0.8,74,,10,
1124,2015-07-15T00:00:00.000,IBAL,1,8.07,22.5,39,89.7,26.1,82,14140,200,1,2,4.82,,1.4,,0.13,,,,0.009,1.5,30,,0,
1122,2015-08-12T00:00:00.000,IBAL,1,8.24,17.9,136,355,5.15,14,21430,"8,050",1,2,5.59,,5.6,,0.24,,,,0.009,1.7,129,,64,
1123,2015-08-12T00:00:00.000,IBAL,1,8.09,18.6,63,153,3.4,2,30760,"5,460",1,2,5.44,,1.4,,0.14,,,,0.008,0.9,56,,11,
1124,2015-08-12T00:00:00.000,IBAL,1,7.95,20,37,92,2.21,11,26130,410,1,2,5.91,,0.8,,0.14,,,,0.011,1.3,28,,0,
1122,2015-09-16T00:00:00.000,IBAL,1,8.02,18.1,164,355,5.15,34,30760,"12,110",1,3,6.98,,6.5,,0.26,,,,0.012,1.8,124,,96,
1123,2015-09-16T00:00:00.000,IBAL,1,8.14,18.3,69,153,3.4,9,46110,"13,960",1,1,8.40,,0.9,,0.13,,,,0.006,0.8,79,,7,
1124,2015-09-17T00:00:00.000,IBAL,1,7.82,18.2,45,92,2.21,5,17200,<100,1,3,6.01,,0.8,,0.14,,,,0.007,0.9,26,,0,
1122,2015-10-14T00:00:00.000,IBAL,1,7.92,18.4,67,220,1100,2300,241960,"61,310",16,19,5.93,,3.9,,0.33,,,,0.017,3.2,108,,39,
1123,2015-10-14T00:00:00.000,IBAL,1,8.01,18.5,79.5,150,22.8,105,141360,"17,260",12,18,6.88,,1.3,,0.28,,,,0.016,2.2,59,,17,
